Page No.,Q#,Key
1,1,A
1,2,D
1,3,C
2,4,A
2,5,D
2,6,A
2,7,D
3,8,D
3,9,D
3,10,A
3,11,B
3,12,C
4,13,B
4,14,C
4,15,D
5,16,D
5,17,A
5,18,D
5,19,D
6,20,D
6,21,C
6,22,D
6,23,D
6,24,D
7,25,D
7,26,C
7,27,D
8,28,C
8,29,B
8,30,C
9,31,D
9,32,C
9,33,C
10,34,A
10,35,C
10,36,A
11,37,D
11,38,D
11,39,B
11,40,A
12,41,C
12,42,D
12,43,A
12,44,B
12,45,D
13,46,D
13,47,D
13,48,D
13,49,C
14,50,A
14,51,B
14,52,A
15,53,C
15,54,A
15,55,C
16,56,A
16,57,C
16,58,B
16,59,A
16,60,A
17,61,D
17,62,B
17,63,A
17,64,C
18,65,A
18,66,D
18,67,A
19,68,A
19,69,B
19,70,A
20,71,A
20,72,B
20,73,C
21,74,C
21,75,D
21,76,D
22,77,A
22,78,D
22,79,B
23,80,B
23,81,C
23,82,A
24,83,A
24,84,B
24,85,D
24,86,D
24,87,A
25,88,C
25,89,A
25,90,D
26,91,D
26,92,B
26,93,D
26,94,A
27,95,A
27,96,D
28,97,B
28,98,B
28,99,D
28,100,B
